lat,long,ward
12.67,108.04,24160
12.67,108.04,24244
12.62,107.95,24172
12.67,108.04,24157
12.67,108.04,24166
12.67,108.04,24175
12.64,107.96,24178
12.60,108.03,24169
12.67,108.04,24151
12.67,108.04,24142
12.67,108.04,24124
12.67,108.04,24136
12.67,108.04,24130
12.85,108.25,24127
12.63,108.16,24544
12.60,108.11,24547
12.67,108.04,24562
12.75,108.18,24301
12.85,108.10,24289
12.76,108.04,24298
12.85,108.10,24292
12.87,108.10,24280
12.82,107.99,24295
12.96,108.01,24265
12.93,108.11,24268
13.01,108.07,24264
12.86,108.18,24277
12.85,107.97,24286
13.19,108.02,24194
12.79,108.09,24256
12.83,108.09,24259
13.22,108.11,24196
13.18,108.37,24199
13.32,108.07,24184
13.20,108.19,24202
13.26,108.18,24190
13.30,108.31,24187
13.14,108.20,24208
13.11,108.06,24207
13.20,108.21,24181
12.80,108.55,24404
12.75,108.51,24397
12.81,108.49,24391
12.76,108.46,24394
12.82,108.58,24388
12.83,108.46,24373
12.80,108.55,24382
13.13,107.85,24223
13.06,107.89,24211
12.56,107.99,24556
12.54,108.06,24565
12.56,107.99,24559
12.49,108.04,24538
12.67,108.04,24454
12.51,108.25,24472
12.54,108.40,24466
12.49,108.31,24481
12.67,108.04,24460
12.67,108.04,24457
12.53,108.33,24448
13.03,108.23,24310
12.47,108.37,24475
12.50,108.23,24469
13.08,108.20,24307
13.01,108.15,24313
12.97,108.24,24316
12.67,108.04,24317
12.97,108.46,24359
13.11,108.32,24370
13.04,108.33,24349
12.98,108.34,24355
12.95,108.36,24343
12.70,108.24,24499
12.69,108.22,24505
12.69,108.39,24514
12.76,108.35,24502
12.58,108.39,24535
12.71,108.42,24496
12.63,108.39,24532
12.70,108.27,24508
12.67,108.04,24511
13.02,108.19,24493
12.64,108.34,24526
12.34,107.81,24604
12.31,108.06,24607
12.41,108.17,24580
12.67,108.04,24439
12.81,108.61,24418
12.85,108.25,24328
12.87,108.30,24325
12.83,108.33,24334
12.85,108.25,24305
12.85,108.25,24332
12.85,108.25,24318
12.85,108.25,24322
12.60,107.80,24658
12.85,108.25,24311
12.72,107.87,24646
12.66,107.87,24649
12.66,107.87,24655
12.58,107.85,24661
12.05,107.80,24622
11.84,107.96,24634
12.16,108.06,24620
11.93,107.83,24631
12.54,107.79,24673
12.52,107.70,24677
12.16,107.87,24616
12.56,107.73,24670
12.50,107.69,24679
11.90,107.42,24763
12.50,107.69,24682
11.82,107.52,24760
12.02,107.56,24750
11.86,107.57,24757
11.92,107.53,24761
11.92,107.53,24754
11.91,107.61,24766
11.92,107.53,24751
11.91,107.54,24756
11.92,107.53,24745
12.23,107.62,24718
12.23,107.62,24719
12.01,107.50,24733
12.23,107.62,24721
12.23,107.62,24722
12.48,107.97,24694
12.25,107.62,24717
12.34,107.81,24700
12.34,107.81,24709
12.34,107.81,24691
12.34,107.81,24697
12.34,107.81,24692
12.42,107.78,24699
12.46,107.82,24688
12.03,107.37,24746
12.16,107.43,24740
12.09,107.49,24742
12.16,107.43,24736
12.16,107.43,24748
12.00,107.68,24628
12.00,107.68,24614
12.00,107.68,24615
12.00,107.68,24619
12.00,107.68,24612
12.00,107.68,24617
14.10,108.03,23758
14.19,108.08,23740
14.18,107.73,23738
13.81,108.11,23725
14.13,107.82,23749
14.19,107.79,23737
14.23,107.92,23731
14.10,107.92,23755
13.81,108.11,23734
14.09,107.99,23761
13.81,108.11,23890
13.54,107.76,23899
13.81,108.11,23924
13.56,107.83,23929
13.50,107.87,23932
13.77,107.85,23893
13.41,107.87,23935
13.65,107.99,23923
13.54,107.76,23908
13.95,107.62,23914
13.65,107.92,23926
13.54,107.76,23902
13.83,107.90,23896
13.47,108.10,23971
13.60,108.08,23974
13.79,108.13,23947
13.47,108.10,23942
13.37,108.40,23956
13.84,108.11,23946
13.62,108.21,23968
13.97,108.02,23965
13.67,108.04,23959
13.66,108.08,23962
13.62,108.04,23977
13.83,108.04,23944
14.13,108.11,23684
13.95,108.13,23707
14.19,108.18,23683
14.12,108.23,23686
13.81,108.11,23692
14.28,108.26,23680
14.01,108.10,23701
13.88,108.11,23716
14.01,108.20,23698
13.92,108.20,23714
13.99,108.11,23677
13.81,108.11,23704
14.06,108.10,23695
13.81,108.11,24007
13.81,108.11,24004
13.87,107.70,23860
13.76,107.73,23878
13.80,107.69,23857
13.95,107.62,23771
13.95,107.62,23788
13.98,107.95,23785
13.95,107.62,23770
13.95,107.62,23776
13.95,107.62,23791
14.05,107.92,23767
13.95,107.62,23779
13.95,107.62,23764
13.95,107.62,23768
13.81,108.11,23659
14.37,108.36,23641
13.81,108.11,23830
13.81,108.11,23851
13.82,108.42,23846
13.81,108.11,23848
13.95,107.62,24103
13.81,108.11,24097
14.16,108.32,23798
14.02,108.34,23799
13.77,108.25,23821
14.03,108.30,23803
13.64,108.23,24048
14.05,108.26,23794
13.94,108.26,23809
13.43,108.27,24055
13.51,108.40,24067
13.81,108.11,23590
13.46,108.29,24043
13.97,108.05,23599
13.90,107.98,23608
13.97,108.02,23605
13.97,108.02,23586
13.81,108.11,23579
13.81,108.11,23569
13.81,108.11,23575
